Symptom1,Symptom2,Symptom3,Disease
Constipation,Runny nose,Insomnia,Tonsillitis_364086
Runny nose,Chest pain,Shortness of breath,Gastroenteritis_502251
Depression,Vomiting,Chest pain,Bronchitis_355964
Constipation,Joint pain,Rash,Syphilis_342785
Night sweats,Blurred vision,Hair loss,Meningitis_877804
Back pain,Muscle pain,Anxiety,Hypertension_257740
Headache,Fatigue,Weight loss,Zika Virus_302312
Swollen glands,Hearing loss,Sneezing,Influenza_44258
Wheezing,Itchy skin,Hearing loss,Measles_661097
Blurred vision,Night sweats,Swollen glands,Syphilis_413119
Shortness of breath,Joint pain,Abdominal pain,Scabies_642933
Itchy skin,Vomiting,Dizziness,Celiac Disease_479705
Fever,Weight loss,Sweating,Influenza_826028
Swollen glands,Rash,Fever,Tonsillitis_264404
Tingling,Muscle pain,Swollen glands,Bronchitis_552062
Itchy skin,Chest pain,Insomnia,Glaucoma_665184
Night sweats,Joint pain,Sneezing,Multiple Sclerosis_675498
Cough,Vomiting,Joint pain,Celiac Disease_252511
Sweating,Vomiting,Hair loss,Lupus_529904
Night sweats,Itchy skin,Shortness of breath,Hypertension_224666
Fatigue,Blurred vision,Red eyes,Tuberculosis_558260
Anxiety,Hair loss,Itchy skin,Influenza_655828
Jaundice,Runny nose,Vomiting,Chikungunya_238252
Dry mouth,Muscle pain,Sneezing,Gastroenteritis_743567
Diarrhea,Constipation,Runny nose,Cholera_37693
Muscle pain,Runny nose,Back pain,Multiple Sclerosis_639710
Blurred vision,Sore throat,Itchy skin,Anemia_289722
Fatigue,Abdominal pain,Diarrhea,Diabetes_58329
Hearing loss,Hair loss,Tremors,Diabetes_837845
Vomiting,Wheezing,Red eyes,Hepatitis A_559786
Itchy skin,Blurred vision,Depression,Conjunctivitis_417240
Night sweats,Shortness of breath,Swollen glands,Tetanus_808214
Dry mouth,Rash,Tingling,UTI_410732
Muscle pain,Blurred vision,Sweating,Chikungunya_745264
Diarrhea,Chest pain,Constipation,Hepatitis A_311846
Loss of appetite,Fever,Night sweats,Diabetes_295827
Fever,Tremors,Sore throat,Chikungunya_753084
Sneezing,Back pain,Joint pain,Measles_22663
Night sweats,Red eyes,Dizziness,Depression_243499
Cough,Itchy skin,Insomnia,Leprosy_414259
Chills,Abdominal pain,Tingling,Tetanus_223508
Dry mouth,Cough,Fever,Typhoid_61420
Weight loss,Tremors,Dizziness,Rabies_63424
Night sweats,Muscle pain,Diarrhea,Cholera_459789
Muscle pain,Hearing loss,Abdominal pain,Ulcerative Colitis_1239
Sneezing,Night sweats,Red eyes,Multiple Sclerosis_72024
Weight loss,Nausea,Wheezing,Measles_322859
Night sweats,Runny nose,Nausea,Thalassemia_527155
Diarrhea,Itchy skin,Rash,Cholera_926781
Abdominal pain,Night sweats,Blurred vision,Hepatitis A_480482
Wheezing,Itchy skin,Weight loss,Chickenpox_896919
Runny nose,Dizziness,Red eyes,Ulcerative Colitis_673805
Swollen glands,Chest pain,Sneezing,HIV/AIDS_257304
Tremors,Sweating,Red eyes,Diabetes_993233
Headache,Chest pain,Rash,Hepatitis A_132860
Swollen glands,Red eyes,Hair loss,Depression_265763
Fever,Runny nose,Dry mouth,Malaria_838403
Blurred vision,Diarrhea,Abdominal pain,Meningitis_960282
Sore throat,Muscle pain,Itchy skin,Malaria_750865
Sweating,Itchy skin,Joint pain,Celiac Disease_31619
Fatigue,Sweating,Wheezing,Arthritis_530349
Diarrhea,Sweating,Tremors,Typhoid_178444
Sweating,Rash,Diarrhea,Tuberculosis_683886
Insomnia,Anxiety,Cough,Rabies_50406
Depression,Tremors,Palpitations,Multiple Sclerosis_67332
Chest pain,Dizziness,Diarrhea,Gonorrhea_900981
Joint pain,Sweating,Rash,UTI_206676
Palpitations,Fever,Weight loss,Influenza_323708
Loss of appetite,Dry mouth,Dizziness,Tonsillitis_141814
Dizziness,Jaundice,Rash,Jaundice_888380
Tremors,Sore throat,Vomiting,Malaria_976173
Blurred vision,Night sweats,Constipation,Asthma_266987
Depression,Tingling,Sneezing,Thalassemia_716353
Runny nose,Muscle pain,Palpitations,Dengue_557804
Depression,Runny nose,Swollen glands,Tonsillitis_126128
Constipation,Loss of appetite,Depression,Thalassemia_942029
Nausea,Back pain,Blurred vision,Chickenpox_909155
Hearing loss,Red eyes,Chest pain,Tuberculosis_17254
Headache,Tremors,Back pain,Scabies_503737
Diarrhea,Headache,Constipation,Conjunctivitis_744576
Anxiety,Shortness of breath,Back pain,Conjunctivitis_85948
Joint pain,Swollen glands,Diarrhea,Psoriasis_197743
Insomnia,Headache,Hair loss,Typhoid_21630
Fatigue,Runny nose,Itchy skin,COVID-19_403885
Red eyes,Itchy skin,Joint pain,Hepatitis A_583522
Sweating,Dry mouth,Fatigue,UTI_637420
Red eyes,Fever,Hearing loss,Jaundice_155692
Night sweats,Diarrhea,Rash,Rabies_155378
Red eyes,Nausea,Palpitations,Epilepsy_497374
Headache,Diarrhea,Dizziness,Mononucleosis_212645
Sneezing,Tremors,Muscle pain,Hypertension_422512
Red eyes,Runny nose,Rash,COVID-19_645431
Loss of appetite,Hearing loss,Sore throat,Vertigo_564373
Sneezing,Insomnia,Constipation,HIV/AIDS_67278
Itchy skin,Diarrhea,Sneezing,Measles_326815
Constipation,Dry mouth,Jaundice,Zika Virus_279174
Jaundice,Tremors,Hearing loss,Celiac Disease_613979
Jaundice,Dry mouth,Back pain,Ulcerative Colitis_897457
Constipation,Runny nose,Dry mouth,Measles_993263
Blurred vision,Nausea,Insomnia,Jaundice_557318
Fever,Dizziness,Jaundice,Hepatitis B_544069
Sneezing,Tingling,Back pain,Diabetes_590227
Tingling,Muscle pain,Blurred vision,Psoriasis_56845
Joint pain,Chills,Weight loss,COVID-19_409451
Runny nose,Red eyes,Tingling,Lupus_306390
Dry mouth,Tingling,Loss of appetite,Chickenpox_496949
Hearing loss,Hair loss,Nausea,Sinusitis_749102
Sore throat,Nausea,Wheezing,Asthma_653387
Dizziness,Sneezing,Vomiting,Gastroenteritis_57661
Hair loss,Weight loss,Shortness of breath,Anemia_872266
Chills,Tingling,Dry mouth,Thalassemia_541277
Red eyes,Fever,Anxiety,Thalassemia_745149
Loss of appetite,Sweating,Dry mouth,Lupus_723150
Itchy skin,Abdominal pain,Joint pain,Hepatitis B_887919
Blurred vision,Sore throat,Dizziness,Pneumonia_722071
Swollen glands,Wheezing,Cough,Gonorrhea_333571
Dry mouth,Itchy skin,Sweating,Pneumonia_483607
Wheezing,Insomnia,Swollen glands,Conjunctivitis_544154
Wheezing,Constipation,Diarrhea,COVID-19_791573
Jaundice,Red eyes,Fever,Migraine_387609
Vomiting,Night sweats,Anxiety,Rabies_77086
Cough,Itchy skin,Tremors,Zika Virus_948612
Insomnia,Swollen glands,Sweating,Hypertension_197112
Night sweats,Diarrhea,Insomnia,Syphilis_550659
Weight loss,Dry mouth,Fatigue,HIV/AIDS_840676
Joint pain,Wheezing,Back pain,Leprosy_495495
Dizziness,Rash,Abdominal pain,Depression_557449
Back pain,Sore throat,Hair loss,Tetanus_498496
Rash,Jaundice,Weight loss,Mononucleosis_237347
Itchy skin,Cough,Palpitations,Pneumonia_1711
Jaundice,Tingling,Swollen glands,Psoriasis_725271
Depression,Abdominal pain,Muscle pain,Leprosy_760961
Wheezing,Weight loss,Chills,Chikungunya_241334
Joint pain,Chest pain,Itchy skin,Malaria_200429
Cough,Tremors,Chest pain,Leprosy_277685
Swollen glands,Wheezing,Back pain,Dengue_481214
Back pain,Chills,Shortness of breath,Measles_497061
Tingling,Constipation,Hair loss,Scabies_948235
Weight loss,Shortness of breath,Vomiting,Hepatitis A_260740
Red eyes,Sweating,Jaundice,Hepatitis B_425665
Fatigue,Depression,Hair loss,Hepatitis B_339829
Hearing loss,Weight loss,Itchy skin,Meningitis_865522
Joint pain,Constipation,Swollen glands,Zika Virus_920644
Palpitations,Vomiting,Wheezing,Epilepsy_991092
Depression,Itchy skin,Vomiting,Cholera_255963
Red eyes,Abdominal pain,Chest pain,COVID-19_842909
Itchy skin,Wheezing,Headache,Diabetes_126547
Rash,Anxiety,Cough,Influenza_552052
Back pain,Sore throat,Vomiting,Gonorrhea_842469
Dizziness,Fever,Insomnia,Psoriasis_385791
Muscle pain,Blurred vision,Loss of appetite,Lupus_97458
Sore throat,Insomnia,Vomiting,COVID-19_624593
Tremors,Dry mouth,Chills,Depression_10969
Tingling,Blurred vision,Depression,Glaucoma_849690
Constipation,Rash,Depression,Migraine_499481
Joint pain,Hearing loss,Tremors,Chickenpox_885373
Dizziness,Jaundice,Rash,Anemia_939518
Night sweats,Dry mouth,Dizziness,Hepatitis A_801976
Blurred vision,Swollen glands,Itchy skin,Tonsillitis_361786
Cough,Nausea,Headache,Gonorrhea_986587
Sore throat,Muscle pain,Diarrhea,Conjunctivitis_951990
Back pain,Hearing loss,Anxiety,UTI_910016
Chest pain,Sneezing,Tremors,Hypertension_30914
Cough,Runny nose,Fever,Thalassemia_769989
Tingling,Abdominal pain,Jaundice,Meningitis_514542
Wheezing,Dry mouth,Abdominal pain,Asthma_975893
Tremors,Wheezing,Joint pain,Bronchitis_781878
Night sweats,Tremors,Insomnia,Arthritis_273025
Jaundice,Abdominal pain,Sweating,Meningitis_923114
Shortness of breath,Night sweats,Chest pain,Ulcerative Colitis_837151
Cough,Swollen glands,Hair loss,Jaundice_77492
Jaundice,Chills,Nausea,Tonsillitis_27964
Palpitations,Sore throat,Dizziness,Pneumonia_163861
Anxiety,Runny nose,Hearing loss,Chikungunya_194506
Constipation,Chills,Hearing loss,Rabies_804208
Hair loss,Fever,Weight loss,Migraine_17171
Loss of appetite,Weight loss,Fatigue,Chickenpox_529379
Muscle pain,Depression,Constipation,Arthritis_548105
Headache,Muscle pain,Rash,Hypertension_645842
Muscle pain,Headache,Runny nose,Depression_426073
Cough,Fever,Back pain,Depression_71367
Red eyes,Tremors,Cough,Chickenpox_821111
Palpitations,Sneezing,Headache,Gonorrhea_935021
Wheezing,Sweating,Red eyes,Meningitis_19582
Runny nose,Tingling,Sore throat,Anemia_444972
Loss of appetite,Hearing loss,Constipation,Migraine_316263
Tremors,Abdominal pain,Vomiting,UTI_980442
Itchy skin,Chest pain,Runny nose,Dengue_708132
Abdominal pain,Swollen glands,Back pain,Ulcerative Colitis_47423
Insomnia,Swollen glands,Joint pain,Depression_374047
Nausea,Tremors,Insomnia,Psoriasis_112919
Cough,Sweating,Sore throat,Malaria_511527
Insomnia,Fatigue,Sneezing,Tetanus_415650
Itchy skin,Rash,Tingling,Chickenpox_384249
Night sweats,Back pain,Diarrhea,Hepatitis B_797299
Headache,Chills,Rash,Anemia_624188
Joint pain,Dry mouth,Swollen glands,Tuberculosis_334792
Vomiting,Chest pain,Red eyes,UTI_819764
Palpitations,Sore throat,Hair loss,Leprosy_250959
Headache,Insomnia,Sweating,Pneumonia_394597
Anxiety,Abdominal pain,Back pain,Thalassemia_927953
Red eyes,Depression,Constipation,Ulcerative Colitis_627069
Nausea,Joint pain,Red eyes,Malaria_924101
Muscle pain,Loss of appetite,Swollen glands,COVID-19_405495
Loss of appetite,Tremors,Vomiting,Hepatitis A_439128
Dizziness,Weight loss,Anxiety,Asthma_281937
Blurred vision,Jaundice,Fatigue,Malaria_861679
Blurred vision,Itchy skin,Sneezing,Celiac Disease_808835
Hearing loss,Fever,Constipation,Leprosy_714225
Hair loss,Abdominal pain,Depression,Hepatitis A_463554
Chest pain,Chills,Abdominal pain,Glaucoma_649820
Jaundice,Hair loss,Swollen glands,Psoriasis_786819
Back pain,Diarrhea,Muscle pain,Hepatitis B_45383
Hair loss,Runny nose,Palpitations,Depression_363927
Vomiting,Insomnia,Blurred vision,Leprosy_969479
Runny nose,Red eyes,Vomiting,Hepatitis A_793650
Chills,Palpitations,Itchy skin,COVID-19_338979
Wheezing,Sneezing,Swollen glands,Psoriasis_98061
Sneezing,Sweating,Cough,Diabetes_422511
Shortness of breath,Cough,Jaundice,HIV/AIDS_366600
Vomiting,Depression,Nausea,Measles_735387
Weight loss,Jaundice,Depression,Hepatitis A_466682
Rash,Back pain,Tingling,Lupus_140790
Joint pain,Weight loss,Fatigue,Depression_658741
Weight loss,Headache,Hearing loss,Glaucoma_49152
Red eyes,Hair loss,Sore throat,Dengue_885186
Jaundice,Headache,Insomnia,Scabies_569563
Sore throat,Headache,Nausea,Leprosy_586391
Joint pain,Shortness of breath,Dry mouth,Chikungunya_426944
Palpitations,Runny nose,Abdominal pain,Anemia_952352
Jaundice,Runny nose,Joint pain,Ulcerative Colitis_206399
Vomiting,Tremors,Dry mouth,Ulcerative Colitis_30679
Fatigue,Hair loss,Chest pain,Anemia_888412
Headache,Chest pain,Fever,Influenza_355448
Jaundice,Night sweats,Diarrhea,Depression_302655
Cough,Tremors,Constipation,Epilepsy_12396
Sore throat,Dizziness,Fever,Migraine_795307
Fever,Night sweats,Fatigue,Jaundice_464306
Itchy skin,Wheezing,Joint pain,Chickenpox_94357
Fatigue,Shortness of breath,Insomnia,HIV/AIDS_793848
Vomiting,Back pain,Tingling,Rabies_538190
Joint pain,Wheezing,Fatigue,Leprosy_506075
Diarrhea,Loss of appetite,Night sweats,Hepatitis B_887321
Shortness of breath,Anxiety,Red eyes,Psoriasis_429951
Jaundice,Dry mouth,Wheezing,COVID-19_685635
Constipation,Fatigue,Wheezing,Tetanus_839448
Palpitations,Dry mouth,Shortness of breath,Cholera_625987
Nausea,Depression,Hair loss,Migraine_354535
Hearing loss,Muscle pain,Dizziness,Zika Virus_248170
Fatigue,Hair loss,Wheezing,Psoriasis_538971
Palpitations,Itchy skin,Back pain,Hypertension_852612
Night sweats,Vomiting,Depression,Celiac Disease_122285
Tingling,Chest pain,Runny nose,Epilepsy_419956
Chest pain,Sore throat,Blurred vision,Pneumonia_82855
Runny nose,Jaundice,Tingling,Epilepsy_743704
Fatigue,Swollen glands,Chest pain,Sinusitis_789122
Chest pain,Sweating,Chills,Rabies_473468
Muscle pain,Fever,Runny nose,Lupus_805812
Palpitations,Rash,Fever,Scabies_964933
Palpitations,Wheezing,Sore throat,Chikungunya_112534
Blurred vision,Constipation,Itchy skin,Zika Virus_543168
Swollen glands,Chest pain,Constipation,Epilepsy_272756
Palpitations,Loss of appetite,Depression,COVID-19_300523
Blurred vision,Muscle pain,Swollen glands,Glaucoma_77672
Night sweats,Chest pain,Headache,Hepatitis B_131587
Itchy skin,Back pain,Nausea,Hypertension_305212
Loss of appetite,Hearing loss,Itchy skin,Scabies_566757
Blurred vision,Nausea,Muscle pain,Chikungunya_383014
Tingling,Back pain,Constipation,Leprosy_397239
Insomnia,Jaundice,Night sweats,Tonsillitis_861116
Joint pain,Loss of appetite,Shortness of breath,Anemia_667152
Insomnia,Jaundice,Diarrhea,Ulcerative Colitis_39833
Fever,Nausea,Chills,UTI_1930
Itchy skin,Red eyes,Joint pain,Anemia_469398
Tremors,Cough,Wheezing,Epilepsy_27622
Swollen glands,Abdominal pain,Palpitations,Arthritis_162349
Sweating,Tremors,Palpitations,Epilepsy_466968
Fever,Constipation,Night sweats,Leprosy_489377
Fever,Cough,Shortness of breath,Measles_17281
Weight loss,Sneezing,Blurred vision,Cholera_423771
Constipation,Nausea,Cough,Tuberculosis_477530
Loss of appetite,Vomiting,Anxiety,COVID-19_166019
Hair loss,Sore throat,Rash,Gonorrhea_804933
Abdominal pain,Night sweats,Fever,Chickenpox_775065
Sneezing,Chest pain,Back pain,Syphilis_125481
Anxiety,Depression,Muscle pain,Vertigo_18721
Vomiting,Cough,Sneezing,Typhoid_178766
Sore throat,Depression,Headache,Hepatitis B_747343
Sweating,Swollen glands,Depression,Epilepsy_10970
Jaundice,Hearing loss,Joint pain,Zika Virus_118450
Chills,Chest pain,Sore throat,Hepatitis A_237464
Shortness of breath,Chest pain,Sneezing,Typhoid_633062
Back pain,Diarrhea,Loss of appetite,Hypertension_920324
Red eyes,Fever,Rash,Migraine_83549
Loss of appetite,Chest pain,Swollen glands,Jaundice_485006
Itchy skin,Fatigue,Tingling,Sinusitis_299406
Wheezing,Weight loss,Swollen glands,Arthritis_221275
Weight loss,Nausea,Hearing loss,Malaria_156545
Anxiety,Joint pain,Night sweats,Tuberculosis_51386
Itchy skin,Red eyes,Cough,Influenza_44856
Weight loss,Shortness of breath,Chest pain,Leprosy_397653
Sweating,Headache,Jaundice,Anemia_974478
Tremors,Wheezing,Chills,Epilepsy_298056
Rash,Depression,Anxiety,Anemia_355364
Rash,Tremors,Jaundice,Hepatitis B_570335
Hearing loss,Sweating,Tremors,Meningitis_505158
Tingling,Itchy skin,Tremors,Zika Virus_553748
Back pain,Tremors,Jaundice,Diabetes_764613
Night sweats,Muscle pain,Chest pain,Rabies_433724
Fever,Sore throat,Chest pain,Pneumonia_903495
Diarrhea,Shortness of breath,Back pain,Hepatitis B_791411
Chills,Vomiting,Diarrhea,Multiple Sclerosis_581704
Anxiety,Back pain,Blurred vision,Diabetes_995533
Headache,Tremors,Abdominal pain,Sinusitis_520390
Sore throat,Sweating,Tingling,Depression_429385
Headache,Loss of appetite,Vomiting,Multiple Sclerosis_330498
Fatigue,Dry mouth,Blurred vision,Hypertension_948844
Insomnia,Abdominal pain,Cough,UTI_758860
Loss of appetite,Hair loss,Chills,Influenza_356276
Night sweats,Constipation,Blurred vision,Mononucleosis_230217
Itchy skin,Dizziness,Sneezing,Tetanus_785122
Diarrhea,Abdominal pain,Headache,Gonorrhea_858201
Back pain,Dizziness,Dry mouth,Psoriasis_986643
Sweating,Palpitations,Vomiting,Asthma_574175
Runny nose,Rash,Itchy skin,Multiple Sclerosis_264074
Swollen glands,Jaundice,Insomnia,Vertigo_639859
Night sweats,Sweating,Jaundice,Multiple Sclerosis_459758
Chest pain,Dry mouth,Chills,Multiple Sclerosis_734700
Dry mouth,Chills,Vomiting,Malaria_698517
Weight loss,Constipation,Cough,Rabies_396786
Chest pain,Red eyes,Fever,Anemia_460980
Chest pain,Fatigue,Loss of appetite,Hepatitis B_190467
